rank,tier,name,strategy,match_level,description,why_mit,website,aum_millions,fund_types,location,crd,sec_number,num_funds
1,1,3D INVESTMENT PARTNERS PTE. LTD.,Activist Value Equity (Japan),YES,Singapore-based Japan-focused value/activist investor. Compounds capital by helping portfolio companies improve. Founded by Kanya Hasegawa. $4.6B AUM.,Value-oriented with emphasis on business quality. Constructive activism to unlock value in Japanese companies.,HTTP://WWW.3DIPARTNERS.COM,4614.6,Hedge(2),"SINGAPORE, Singapore",282411,802-107363,2
2,1,AKO CAPITAL LLP,Quality Equity - Long Only,YES,"London-based quality investor. Published 'Quality Investing' book. Clients include universities, foundations, hospitals. Founded by Nicolai Tangen. $20B AUM. Long-term, research-driven, bottom-up quality equity.",Textbook quality/value investor. Clients already include university endowments. Published thought leadership on quality investing.,HTTPS://WWW.LINKEDIN.COM/COMPANY/AKO-CAPITAL,20133.2,"Hedge(2), Other(3)","LONDON, United Kingdom",160379,802-74303,5
3,1,AMANSA CAPITAL PTE. LTD.,Long-term Fundamental Equity (India),YES,"Singapore-based India-focused long-term equity investor. 3-year lock-up. Bottom-up, quality-focused. Founded by Akash Prakash (ex-Temasek, GIC). $3.8B AUM.","Strong pedigree, long-term lock-up structure, quality-focused fundamental India equity investing.",HTTPS://WWW.AMANSACAPITAL.COM,3830.9,Hedge(1),"SINGAPORE, Singapore",145780,802-74123,1
4,1,ASPEX MANAGEMENT (HK) LIMITED,Long-term Fundamental Equity (Pan-Asia),YES,"Hong Kong-based pan-Asian equity investor. Fundamental, research-intensive, long-term horizon. Serves endowments, foundations, sovereign wealth funds. $10.9B AUM.","Research-intensive, long-term. Already serves university endowments and foundations.",https://www.aspexmanagement.com,10904.3,Hedge(2),"HONG KONG, Hong Kong",300189,802-115265,2
5,1,BLOOMBERGSEN INVESTMENT PARTNERS,Concentrated Value Equity,YES,"Toronto-based concentrated (<15 stocks), long-term value investor. 5+ year holding horizon. Only invests at significant discount to intrinsic value. $706M AUM.",Classic Buffett-style concentrated value investing. Time arbitrage philosophy. Manages endowment/foundation capital.,HTTP://WWW.BLOOMBERGSEN.COM,705.9,"Hedge(4), PE(2)","TORONTO, Canada",281189,802-110556,6
6,1,CRYDER CAPITAL,Concentrated Quality Equity (Global),YES,"London-based concentrated (10-20 positions), long-term investor in high-quality companies with strong competitive advantages and robust FCF. Targets ~15% compounding. Serves endowments and foundations. $30M minimum. $1.9B AUM.","Textbook match: concentrated, long-term, quality-focused, already serves endowments/foundations. Targets capital preservation plus compounding.",https://www.linkedin.com/company/cryder-capital-partners-llp,1905.2,Hedge(1),"LONDON, United Kingdom",268801,802-128885,1
7,1,DYNAMO INTERNACIONAL,Value Equity (Brazil),YES,Brazilian Buffett-inspired value investor. 21% annualized returns since 1997. Library features Graham/Buffett works. $1.3B AUM.,Outstanding long-term track record. Deeply rooted in Buffett/Graham value investing tradition.,HTTP://WWW.DYNAMO.COM.BR,1340.1,"Hedge(12), PE(2)","RIO DE JANEIRO, Brazil",162122,802-74725,14
8,1,GREENWOODS ASSET MANAGEMENT HONG KONG LIMITED,Fundamental Value Equity (China),YES,"China-focused fundamental value investor. Golden China fund returned 1,496% since 2004 inception. Due diligence-driven stock picking. $2.6B AUM.","Long track record of fundamental value investing in China. Serves sovereign wealth funds, endowments, pensions.",HTTPS://WWW.GREENWOODSASSET.COM,2568.2,Hedge(2),"HONG KONG, China",161898,802-124941,2
9,1,"HHLR ADVISORS, LTD.",Long-term Fundamental Equity (Asia/Global),YES,Hillhouse Investment group. Founded by Lei Zhang with Yale endowment seed capital. Long-term fundamental research-driven equity across public and private markets. $18.5B AUM.,Seeded by Yale endowment. Long-term fundamental approach. Invests across equity stages with quality focus.,https://www.hillhouseinvestment.com,18464.6,Hedge(4),"SINGAPORE, Singapore",166112,802-128070,4
10,1,JANCHOR PARTNERS,Long-term Industrialist Investor (Asia),YES,Hong Kong-based 'Industrialist Investor' partnering with companies with superior business models. ~10 company portfolio. Endowment-backed. Founded by John Ho (ex-TCI). $4.9B AUM.,"Long-term, concentrated, quality-focused. Investors include university endowments. Deep engagement with portfolio companies.",https://janchorpartners.com/,4945.2,"Hedge(5), PE(1)","CENTRAL, Hong Kong",160420,802-75222,6
11,1,THELEME PARTNERS LLP,Concentrated Value Equity,YES,"London-based fundamental, long-term, valuation-centric, concentrated public equity investor. Founded by Patrick Degorce (co-founded TCI). $4.6B AUM. ~9 holdings.","Fundamental, concentrated, long-term value equity. Deep conviction approach with few holdings.",HTTPS://WWW.THELEMEPARTNERS.COM,4642.5,Hedge(3),"LONDON, United Kingdom",157257,802-78387,3
12,1,WHITE OAK CAPITAL MANAGEMENT CONSULTANTS LLP,GARP / Quality Equity (India),YES,India-focused GARP (Growth at Reasonable Prices) investor. Bottom-up stock selection in 'great businesses at attractive values'. Founded by Prashant Khemka (ex-Goldman). $30B AUM.,Strong fundamental quality approach to India equities. Disciplined bottom-up with proprietary Opco-Finco framework.,http://www.whiteoakindia.com,30069.7,Hedge(4),"PRABHADEVI, MUMBAI, India",301784,802-117093,4
13,2,ACTIVE OWNERSHIP CORPORATION S.À R.L.,Activist Value Equity (Europe),YES,"European activist value investor. Acquires stakes in undervalued companies and uses PE-style value creation (governance, margins, revenue). Ex-Elliott and Triton founders. $1.4B AUM.",Value investing plus constructive activism in Europe. Unique approach to unlocking value.,http://activeownership.lu,1426.8,Hedge(2),"GREVENMACHER, Luxembourg",310391,802-119520,2
14,2,ARCUS INVESTMENT LIMITED,Value Equity (Japan),YES,Japan-only value equity specialist (long-only and long/short). Founded 1998. Proprietary multi-factor scoring plus fundamental analysis. 25+ year track record. Beneficiary of Japan corporate governance reform. $2.5B AUM.,Disciplined Japan value investor with 25+ year track record. Long-only and long/short.,https://uk.linkedin.com/company/arcus-investment-ltd,2479.2,"Hedge(1), Other(2)","LONDON, United Kingdom",162196,802-76646,3
15,1,"BLACK BEAR VALUE PARTNERS, LP",Concentrated Value Equity,YES,"Opportunistic, concentrated, fundamental value investment manager. Founded 2016 by Adam Schwartz (21 yrs buy-side, ex-Fir Tree Partners $13B AUM, ex-LibertyView/Lehman, ex-Kore/Paloma). Seeks capital preservation and long-term appreciation via margin of safety. Views risk as permanent loss of capital, not volatility. Actively seeks investments at discounts to intrinsic value. Lower-fee structure with large personal investment. $55M AUM.","Classic value philosophy: margin of safety, intrinsic value, permanent capital loss focus. Strong pedigree (Fir Tree). Concentrated, high-conviction. Excellent seed/emerging manager candidate.",https://www.blackbearfund.com/,55.4,Hedge(1),"BOCA RATON, FL",319746,802-125938,1
16,2,CHARLES-LIM CAPITAL LIMITED,Fundamental Equity (Asia),MAYBE,Independent HK-based investment manager serving institutions and family offices. $1.1B AUM.,Independent Asia equity manager for institutional clients.,HTTP://WWW.CHARLESLIMCAPITAL.COM,1124.6,Hedge(1),"HONG KONG, Hong Kong",172397,802-80246,1
17,2,COREVIEW CAPITAL MANAGEMENT LIMITED,Concentrated Equity (China/Asia Tech),MAYBE,"HK-based concentrated equity in Chinese/SE Asian tech and consumer. 7 positions, fundamental analysis. $2.6B AUM.",Concentrated fundamental equity approach in Asia.,https://hk.linkedin.com/company/coreview-capital-management-limited,2593.9,Hedge(1),"HONG KONG, Hong Kong",311966,802-120397,1
18,2,COVALIS CAPITAL LLP,Equity,MAYBE,London-based equity hedge fund. $2.7B AUM.,Equity-focused with meaningful AUM.,https://www.linkedin.com/company/covalis-capital-llp/about/,2681.9,Hedge(3),"LONDON, United Kingdom",174043,802-115074,3
19,2,CRAKE ASSET MANAGEMENT,Concentrated Long/Short Equity,MAYBE,London-based high-conviction long/short equity. Founded by Martin Taylor (ex-Nevsky Capital). Concentrated in ~18 large-cap positions. $6B AUM.,"High conviction, concentrated equity. Fundamental analysis. But includes macro overlay.",HTTP://CRAKEAM.COM/,6033.3,Hedge(1),"LONDON, United Kingdom",304493,802-117150,1
20,2,DAVIDE LEONE AND PARTNERS INVESTMENT COMPANY LTD,Fundamental Equity (Global),YES,London-based fundamental equity investor. Long-term perspective. Concentrated portfolio (~11 holdings). $2.6B AUM.,"Long-term, concentrated, fundamental equity approach.",https://www.dlpartners.com,2649.4,Hedge(3),"LONDON, ENGLAND, United Kingdom",301102,802-114995,3
21,2,"EAGLE VALUE PARTNERS, LLC",Value Equity,MAYBE,NYC-based hedge fund. No public website or detailed strategy info found. Name contains Value but strategy unconfirmed. $134M AUM. Distinct from Eagle Capital Management (Ravenel Curry). Needs direct verification.,Name suggests value orientation but no public strategy details available for confirmation.,,134.4,Hedge(1),", ",161978,802-74587,1
22,2,EWING MORRIS & CO. INVESTMENT PARTNERS LTD.,Small/Mid-Cap Value Equity (Canada),YES,"Toronto-based independent boutique. Value-driven, fundamental, high-conviction. Small/mid-cap focus. Employee-owned, partners invested alongside clients. $269M AUM.",Value-driven with strong alignment of interests. Private equity mindset applied to public markets.,HTTP://WWW.EWINGMORRIS.COM,269.0,Hedge(2),"TORONTO, Canada",173004,802-80406,2
23,2,FAIR VALUE CAPITAL MANAGEMENT,Value Equity (India),YES,"India-focused long-term value investor. Bottom-up, fundamental research-driven. Founded by Rakshit Sethi. Incorporates behavioral finance. 20+ year track record. $107M AUM.","Explicitly value-focused, long-term fundamental investor in Indian equities.",https://fairvaluecap.com/,106.6,Hedge(1),"TRIANON, Mauritius",323250,802-127098,1
24,2,FENGHE FUND MANAGEMENT PTE. LTD.,L/S Equity (Asia),MAYBE,Singapore-based Asian L/S equity. Proprietary cycle investing framework. Strong 10+ year track record. $3.8B AUM.,Consistent long-term performer in Asian equities.,HTTP://WWW.FENGHEASIA.COM/,3846.8,Hedge(1),"SINGAPORE, Singapore",288586,802-110806,1
25,2,FIDERA LIMITED,Credit/Special Situations (Europe),MAYBE,European credit and special situations. Spun out of Attestor. $2.6B AUM.,Value-oriented special situations. Interesting diversifier.,https://www.fidera.eu,2589.9,Hedge(2),"LONDON, GREATER LONDON, United Kingdom",313529,802-120844,2
26,2,"GENESEE VALUE MANAGEMENT, LLC",Value Equity,MAYBE,"Hedge fund based in La Jolla, CA. Very limited public information. Name implies value but strategy not confirmed. 2M AUM. Needs direct outreach for verification.",Name suggests value orientation but strategy could not be independently verified. Very low public profile.,,31.9,Hedge(1),", ",168545,802-112710,1
